"Counts_List","sample_id_ori","Estimated Number of Cells","Mean Reads per Cell","Median Genes per Cell","Number of Reads","Valid Barcodes","Sequencing Saturation","Q30 Bases in Barcode","Q30 Bases in RNA Read","Q30 Bases in Sample Index","Q30 Bases in UMI","Reads Mapped to Genome","Reads Mapped Confidently to Genome","Reads Mapped Confidently to Intergenic Regions","Reads Mapped Confidently to Intronic Regions","Reads Mapped Confidently to Exonic Regions","Reads Mapped Confidently to Transcriptome","Reads Mapped Antisense to Gene","Fraction Reads in Cells","Total Genes Detected","Median UMI Counts per Cell","Date","Project","sample_id","Done","Agg","Status","molecule_h5","root","Disk","CountsFolder","Final_Folder","FileNameAggr","FileNameMetrics","Metrics"
51,"Button_combine_force",10000,132536,2017,1325363120,98,63.1,96.7,95.2,NA,96.4,95.9,87.6,32.6,16.6,38.4,33.7,0.3,95.6,18134,9690,NA,"Marmoset","Buttons","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/Button_combine_force/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190912_NovaSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/Button_combine_force/outs/metrics_summary.csv"
52,"Nova_STARR026h",5344,11232,1176,60024527,96.9,24.3,95.7,90.4,94.2,95.7,91.1,83.6,9.3,0,74.3,67.4,3.6,49.6,21724,1871,NA,"STARR","STARR_026","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR026h/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR026h/outs/metrics_summary.csv"
53,"Nova_STARR024",8714,59921,2440,522154488,97.3,69.5,95.5,91.6,90,95.2,95.8,90.9,11.6,0,79.3,71.5,4.7,67.3,25482,5628,NA,"STARR","STARR_024","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR024/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR024/outs/metrics_summary.csv"
54,"Nova_STARR031",4342,99511,1157,432080145,97.3,77.8,95.4,90.7,93,95,92,78,8.8,0,69.2,62.9,3,42.5,23222,1727,NA,"STARR","STARR_031","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR031/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR031/outs/metrics_summary.csv"
55,"Nova_STARR028",2280,246221,1690,561385615,97.9,95.1,95.6,90.6,92.8,95.2,92.1,87.1,9.9,0,77.2,69.9,3.2,74.3,22352,3292,NA,"STARR","STARR_028","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR028/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR028/outs/metrics_summary.csv"
56,"Nova_STARR026",6444,88368,2007,569447003,97.4,83.5,95.5,91.2,91.1,95.2,95,91.4,9.8,0,81.6,74.4,3.7,66.5,23995,4049,NA,"STARR","STARR_026","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR026/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR026/outs/metrics_summary.csv"
57,"KO-HFD",7274,4972,889,36169803,98.1,5.7,95,84.9,93.5,93.9,95.2,93.4,2.6,15.5,75.3,73.6,0.7,93.4,17358,2840,NA,"ALCAT_Mouse","KO_HFD","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/KO-HFD/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190613_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/KO-HFD/outs/metrics_summary.csv"
58,"Nova_STARR032",3674,120982,1313,444489382,97.9,91.7,95.4,90.1,92,95.1,86.3,79.3,8.8,0,70.5,64.1,2.7,63.6,21466,2278,NA,"STARR","STARR_032","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR032/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_STARR032/outs/metrics_summary.csv"
59,"STARR_026",6512,87446,2052,569447003,97.4,83.2,95.5,93,NA,95.2,96.7,90.8,8.5,63.8,18.4,75.7,4.2,66.6,26347,4136,NA,"STARR","STARR_026","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_026/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_026/outs/metrics_summary.csv"
60,"STARR_024",8624,60547,2488,522154488,97.3,69.3,95.5,93.3,NA,95.2,96.8,89.1,9.8,62.6,16.7,72,5.1,67.3,27517,5768,NA,"STARR","STARR_024","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_024/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_024/outs/metrics_summary.csv"
61,"STARR_031",4357,99169,1189,432080145,97.3,76.9,95.4,92.7,NA,95,94.6,77.6,7.4,50.9,19.3,64.6,3.7,42.2,25366,1757,NA,"STARR","STARR_031","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031/outs/metrics_summary.csv"
62,"STARR_028",2288,245361,1876,561385615,97.9,94.5,95.6,92.7,NA,95.2,94.7,86.1,9,50.9,26.2,71.4,3.8,73.5,25014,3777,NA,"STARR","STARR_028","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028/outs/metrics_summary.csv"
63,"STARR_032",4052,109696,1462,444489382,97.9,90.2,95.4,92.9,NA,95.1,90.8,80.5,7.7,56.3,16.4,67.1,3.5,64.8,24569,2560,NA,"STARR","STARR_032","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032/outs/metrics_summary.csv"
64,"Rapa_Mar_combine",5377,128728,2201,692172951,97.4,69.2,95.5,93.6,NA,95.3,95.6,88.4,31.9,21.1,35.4,31.3,0.3,95.2,18191,8489,NA,"Marmoset","Rapa","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Rapa_Mar_combine/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Rapa_Mar_combine/outs/metrics_summary.csv"
65,"Rapa_Mar",4928,53337,1667,262846271,97.4,49,95.7,93,NA,95.6,95.6,88.4,31.7,21,35.7,31.6,0.3,94.8,17600,5507,NA,"Marmoset","Rapa","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Rapa_Mar/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Rapa_Mar/outs/metrics_summary.csv"
66,"Nova_NDYoung",21960,27201,212,597355485,97.8,62.1,95.6,90.3,93.6,95.5,90.9,88.6,4.1,14,70.5,67.9,0.5,93.8,19780,664,NA,"Aging_Mouse","ND_Young","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_NDYoung/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_NDYoung/outs/metrics_summary.csv"
67,"Nova_NDOld",21254,35736,736,759539580,97.9,60.5,95.7,90.2,93.7,95.6,89.5,87.4,5.3,22.7,59.4,56.7,0.8,89,20427,1771,NA,"Aging_Mouse","ND_Old","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_NDOld/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_NDOld/outs/metrics_summary.csv"
68,"Rapa_Marmoset",4245,3970,386,16854517,97.6,4.7,95.1,84.2,93,94.1,93.8,87.2,29.1,21.2,36.9,30.8,0.6,92.5,14773,897,NA,"Marmoset","Rapa","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/Rapa_Marmoset/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190613_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/Rapa_Marmoset/outs/metrics_summary.csv"
69,"Nova_HFDYoung",11218,36546,1746,409976535,97.8,51.6,95.6,90,93.9,95.5,88.7,86.4,5.9,20,60.5,57.5,0.8,82.5,19815,4898,NA,"Aging_Mouse","HFD_Young","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_HFDYoung/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_HFDYoung/outs/metrics_summary.csv"
70,"Nova_HFDOld",5998,53067,2216,318300128,97.9,51.5,95.7,89.8,93.9,95.5,86.7,84.2,6.4,20.6,57.2,54.4,0.7,77.6,19223,6270,NA,"Aging_Mouse","HFD_Old","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_HFDOld/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Nova_HFDOld/outs/metrics_summary.csv"
71,"ND_Young_combine_force_5000",5000,125541,2107,627704619,97.8,63.5,95.5,92.1,NA,95.4,94.8,92,3.2,13.8,75,73.7,0.6,88.3,21319,9233,NA,"Aging_Mouse","ND_Young","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Young_combine_force_5000/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Young_combine_force_5000/outs/metrics_summary.csv"
72,"ND_Young_combine_force",10000,62770,468,627704619,97.8,63.5,95.5,92.1,NA,95.4,94.8,92,3.2,13.8,75,73.7,0.6,90.4,21382,1526,NA,"Aging_Mouse","ND_Young","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Young_combine_force/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Young_combine_force/outs/metrics_summary.csv"
73,"ND_Old_force",10000,75954,1805,759539580,97.9,60.8,95.7,92.9,NA,95.6,93.7,91.3,4.5,23.2,63.6,62,0.9,80.7,21971,5626,NA,"Aging_Mouse","ND_Old","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Old_force/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Old_force/outs/metrics_summary.csv"
74,"ND_Old_combine_force",10000,79278,1838,792781791,97.9,61.5,95.6,92.4,NA,95.4,93.7,91.2,4.5,23.2,63.5,61.9,0.9,80.7,22037,5758,NA,"Aging_Mouse","ND_Old","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Old_combine_force/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Old_combine_force/outs/metrics_summary.csv"
75,"ND_Old",21448,35413,806,759539580,97.9,60.8,95.7,92.9,NA,95.6,93.7,91.3,4.5,23.2,63.6,62,0.9,88.8,22213,1928,NA,"Aging_Mouse","ND_Old","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Old/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/ND_Old/outs/metrics_summary.csv"
76,"HFD_Young_combine_force",10000,43912,2237,439121015,97.8,53.4,95.5,91.9,NA,95.2,93.2,90.2,5.3,20.5,64.5,62.9,0.9,81.8,21453,7128,NA,"Aging_Mouse","HFD_Young","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/HFD_Young_combine_force/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/HFD_Young_combine_force/outs/metrics_summary.csv"
77,"HFD_Young_combine",11666,37641,1788,439121015,97.8,53.4,95.5,91.9,NA,95.2,93.2,90.2,5.3,20.5,64.5,62.9,0.9,82.6,21493,5046,NA,"Aging_Mouse","HFD_Young","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/HFD_Young_combine/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/HFD_Young_combine/outs/metrics_summary.csv"
78,"HFD_Old_combine",6128,57075,2338,349754333,97.9,53.7,95.5,92.1,NA,95.2,92.3,89.2,5.6,21.3,62.3,60.9,0.7,77.6,20953,6884,NA,"Aging_Mouse","HFD_Old","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/HFD_Old_combine/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/HFD_Old_combine/outs/metrics_summary.csv"
79,"Evie",5243,191421,2320,1003620500,97.9,70.3,95.4,93,NA,94.8,95.6,89.6,27,15.5,47.1,43.3,0.3,95,18399,10562,NA,"Marmoset","Evie","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Evie/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20210114_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Evie/outs/metrics_summary.csv"
80,"Marmoset_Olaf",5698,170450,1981,971228873,98.2,71.4,95.4,92.2,NA,94.8,94.8,88.2,28.7,20.9,38.5,34.8,0.3,95.4,18746,6376,NA,"Marmoset","Marmoset_Olaf","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Marmoset_Olaf/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20210114_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Marmoset_Olaf/outs/metrics_summary.csv"
81,"Norton",17925,54120,1390,970117188,97.7,40,95.3,93.1,NA,94.8,94.8,87.5,30.4,22.7,34.4,30.3,0.3,94.3,18972,4179,NA,"Marmoset","Norton","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Norton/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20210114_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Norton/outs/metrics_summary.csv"
82,"76615_V5",9174,91267,2531,837283164,97.6,80.7,95.5,93.1,NA,95,97.1,91.5,8,60.2,23.3,69.6,12,78.7,28243,6020,NA,"SGLT2","76615_V5","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/76615_V5/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210126_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/76615_V5/outs/metrics_summary.csv"
83,"STARR_039",2694,266876,1280,718965036,97.9,93.1,95.6,92.5,NA,94.9,89.3,78.7,7.2,48.9,22.6,64.7,4.8,54.8,24939,1996,NA,"STARR","STARR_039","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210126_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039/outs/metrics_summary.csv"
84,"STARR_041",11064,57724,2827,638662180,98,66.4,95.6,93.8,NA,95.1,94.6,82.5,7.3,54.1,21,68.3,4.9,77.1,28553,6356,NA,"STARR","STARR_041","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_041/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210126_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_041/outs/metrics_summary.csv"
85,"STARR_043",9886,84295,2207,833343742,97.3,82.5,95.6,93.8,NA,95,92.3,81,7.9,55.8,17.3,67.5,3.6,79.4,27972,4432,NA,"STARR","STARR_043","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_043/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210126_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_043/outs/metrics_summary.csv"
86,"Amei-R1",6862,71908,3463,493429890,96.7,62,94,91.8,NA,93.6,91.1,87.7,6.7,58.4,22.6,57.9,22.7,66.7,26468,7090,NA,"Masternak","Amei-R1","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L1_count_dual/Amei-R1/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L1_count_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L1_count_dual/Amei-R1/outs/metrics_summary.csv"
87,"Amei-R2",9351,70022,2786,654776202,96.8,66.2,94.3,92.4,NA,93.8,90.4,87,7.1,54.9,25,67,12.6,67,26675,6502,NA,"Masternak","Amei-R2","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L1_count_dual/Amei-R2/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L1_count_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L1_count_dual/Amei-R2/outs/metrics_summary.csv"
88,"Con-R1",6792,82906,2218,563100027,96.6,71.8,93.9,91.5,NA,93.5,88.6,84.3,8.9,52.1,23.3,68.6,6.4,56.9,25849,4556,NA,"Masternak","Con-R1","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L1_count_dual/Con-R1/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L1_count_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L1_count_dual/Con-R1/outs/metrics_summary.csv"
89,"Con-R2",6326,73440,1832,464580195,97,72,94.1,92,NA,93.7,90.5,87.2,7.2,53.8,26.2,70.7,8.9,38.1,25110,2748,NA,"Masternak","Con-R2","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L1_count_dual/Con-R2/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L1_count_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L1_count_dual/Con-R2/outs/metrics_summary.csv"
92,"76632_V5",8410,71360,4330,600134782,97,52,94.9,92.4,NA,94.4,94.5,87.7,8.3,60.2,19.2,68.6,8.9,81.5,29146,15376,NA,"SGLT2","76632_V5","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/76632_V5/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/76632_V5/outs/metrics_summary.csv"
95,"Norton",17737,49734,1342,882130321,97.5,37.2,94.6,94,NA,94.1,94.8,87.5,30.3,22.7,34.5,30.4,0.3,94.5,18879,4017,NA,"Marmoset","Norton","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton/outs/metrics_summary.csv"
96,"Norton_combine",19191,96516,1682,1852247509,97.6,54.5,95,93.5,NA,94.4,94.8,87.5,30.4,22.7,34.5,30.4,0.3,94.9,19428,5362,NA,"Marmoset","Norton","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton_combine/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton_combine/outs/metrics_summary.csv"
97,"Norton_combine_force",10000,185225,2833,1852247509,97.6,54.5,95,93.5,NA,94.4,94.8,87.5,30.4,22.7,34.5,30.4,0.3,86.7,19202,14028,NA,"Marmoset","Norton","Jia",NA,NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton_combine_force/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton_combine_force/outs/metrics_summary.csv"
98,"STARR_024",8554,60817,2572,520229840,97.2,67,94.5,93.9,NA,94.1,96.5,88.6,9.8,62.3,16.6,71.5,5.1,67,27732,6115,NA,"STARR","STARR_024","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024/outs/metrics_summary.csv"
99,"STARR_024_combine",8877,117425,2767,1042384328,97.3,80.7,95,93.6,NA,94.6,96.7,88.9,9.8,62.4,16.6,71.8,5.1,67.5,28119,6768,NA,"STARR","STARR_024","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024_combine/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024_combine/outs/metrics_summary.csv"
100,"STARR_041",8566,31433,2590,269257932,97.8,45.3,94.7,93.1,NA,94.3,93.9,81.8,7.3,53.7,20.8,67.6,4.9,75.4,27799,5840,NA,"STARR","STARR_041","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041/outs/metrics_summary.csv"
101,"STARR_041_combine",12710,71434,2701,907920112,98,72.9,95.3,93.6,NA,94.8,94.4,82.3,7.3,54,21,68.1,4.9,77.8,28832,5548,NA,"STARR","STARR_041","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041_combine/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041_combine/outs/metrics_summary.csv"
